IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.146.204,8080,8080,false,HKG,Asia Pacific,Hong Kong,72,24.81
47.76.204.76,2052,2052,false,HKG,Asia Pacific,Hong Kong,58,23.97
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,18.43
47.76.204.76,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,17.70
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,14.30
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,12.31
47.243.86.79,2052,2052,false,HKG,Asia Pacific,Hong Kong,73,11.97
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,102,10.27
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,57,8.89
47.243.86.79,2095,2095,false,HKG,Asia Pacific,Hong Kong,72,8.79
8.218.146.204,80,80,false,HKG,Asia Pacific,Hong Kong,60,8.40
8.218.146.204,8880,8880,false,HKG,Asia Pacific,Hong Kong,67,6.68
47.243.86.79,2086,2086,false,HKG,Asia Pacific,Hong Kong,67,6.33
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,5.59
47.243.86.79,2082,2082,false,HKG,Asia Pacific,Hong Kong,72,5.48
47.76.37.57,2082,2082,false,HKG,Asia Pacific,Hong Kong,73,5.38
8.210.101.157,80,80,false,HKG,Asia Pacific,Hong Kong,72,4.87
35.229.166.184,443,443,true,HKG,Asia Pacific,Hong Kong,66,4.75
8.210.48.107,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.14
47.243.86.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,71,3.97
47.76.37.57,2095,2095,false,HKG,Asia Pacific,Hong Kong,69,3.89
47.76.37.57,80,80,false,HKG,Asia Pacific,Hong Kong,67,3.75
47.243.86.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,3.15
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,3.06
159.138.131.240,443,443,true,HKG,Asia Pacific,Hong Kong,72,2.67
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,59,2.25
47.76.77.103,2086,2086,false,HKG,Asia Pacific,Hong Kong,60,2.25
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,100,2.22
47.243.27.217,2052,2052,false,HKG,Asia Pacific,Hong Kong,69,2.14
18.166.180.230,8443,443,true,HKG,Asia Pacific,Hong Kong,109,2.03
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,1.82
47.243.27.217,80,80,false,HKG,Asia Pacific,Hong Kong,67,1.80
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,72,1.72
47.243.27.217,2082,2082,false,HKG,Asia Pacific,Hong Kong,59,1.70
18.166.180.230,2053,443,true,HKG,Asia Pacific,Hong Kong,178,1.60
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,1.50
47.242.157.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,59,1.13
47.76.77.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,67,0.83
119.13.88.67,26541,443,true,HKG,Asia Pacific,Hong Kong,55,0.75
8.210.101.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,0.74
47.243.27.217,8080,8080,false,HKG,Asia Pacific,Hong Kong,75,0.73
8.210.101.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,67,0.72
47.242.157.96,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,0.48
154.12.178.87,14392,443,true,HKG,Asia Pacific,Hong Kong,223,0.27
103.200.112.108,443,443,true,HKG,Asia Pacific,Hong Kong,60,0.25
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,58,0.23
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,59,0.22
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,0.21
101.36.127.49,443,443,true,HKG,Asia Pacific,Hong Kong,60,0.12
154.204.60.218,29876,443,true,HKG,Asia Pacific,Hong Kong,101,0.08
152.32.190.239,4431,443,true,HKG,Asia Pacific,Hong Kong,59,0.07
38.207.179.190,33135,443,true,HKG,Asia Pacific,Hong Kong,174,0.05
38.207.179.191,33135,443,true,HKG,Asia Pacific,Hong Kong,101,0.05
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,76,0.04
47.242.157.96,2096,2096,true,HKG,Asia Pacific,Hong Kong,61,0.01
47.242.157.96,8880,8880,false,HKG,Asia Pacific,Hong Kong,68,0.01
47.242.57.106,443,443,true,HKG,Asia Pacific,Hong Kong,68,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,73,0.00
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,68,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,67,0.00
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,55,0.00
47.242.157.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,68,0.00
